US Equity,Foreign EQ,Emerging EQ
0.0616,0.035891716,-0.018292322
0.035,-0.006226756,-0.019634153
-0.0408,-0.027101275,0.006227063
0.0345,0.037684263,0.127490339
0.0433,0.037048724,0.120020905
-0.0246,-0.054679678,-0.009217478
0.0477,0.035217738,0.109491794
-0.0347,0.026153579,-0.030965503
-0.0138,-2.464E-05,0.005198148
-0.0281,0.006388576,-0.0377421
0.0613,0.033774473,0.01739268
0.0337,0.031350687,0.086064523
0.0772,0.08554763,0.122780219
-0.0474,-0.067464489,0.001859961
0.0245,0.022808824,0.008907033
0.052,0.034256945,0.000180281
-0.064,-0.057043028,-0.099392742
-0.0442,-0.02922728,-0.046341926
0.0464,0.035342102,0.031224909
-0.0251,-0.04652936,-0.056229531
0.0703,0.003884716,-8.3241E-05
-0.0545,-0.053593766,-0.092415919
-0.0276,-0.029018665,-0.078102998
-0.1072,-0.042386394,-0.092533845
0.0119,0.030777284,0.019143264
0.0313,-0.005871497,0.132300024
-0.1005,-0.078695039,-0.082101132
-0.0726,-0.07041062,-0.102419488
0.0794,0.066236901,0.045511776
0.0072,-0.037700123,0.008736229
-0.0194,-0.043322628,-0.02332684
-0.0213,-0.021115252,-0.066190543
-0.0646,-0.028224448,-0.012963825
-0.0925,-0.1038612,-0.15757953
0.0246,0.023370627,0.059858895
0.0754,0.035227465,0.102703364
0.0161,0.004461333,0.077875228
-0.0144,-0.05445862,0.032487887
-0.0229,0.005762753,0.015128565
0.0424,0.053294182,0.058851399
-0.052,0.005741965,0.004990419
-0.0138,0.012165828,-0.017333039
-0.0721,-0.040733913,-0.076321928
-0.0818,-0.100143757,-0.077556702
0.005,-0.003433098,0.014008755
-0.1035,-0.10854536,-0.109291149
0.0784,0.052423034,0.063487763
0.0596,0.044313257,0.067633511
-0.0576,-0.034649868,-0.034325593
-0.0257,-0.042671591,-0.005353895
-0.0188,-0.023759365,-0.027889912
0.0109,-0.019898503,-0.029354659
0.0822,0.098157734,0.088072119
0.0605,0.060620361,0.070871367
0.0142,0.023749721,0.055994639
0.0235,0.023656331,0.061927458
0.0234,0.02362302,0.066419732
-0.0124,0.030225351,0.006530941
0.0608,0.061692626,0.084397611
0.0135,0.021675171,0.011588738
0.0429,0.07736988,0.071696287
0.0215,0.013514863,0.034815014
0.014,0.022654655,0.045529929
-0.0132,0.005118881,0.011949217
-0.0183,-0.022572776,-0.082557265
0.0117,0.003730365,-0.020295141
0.0186,0.021516897,0.003767849
